"date","adm_total","recov_total","deaths_total","day","cum_adm_total","cum_recov_total","cum_deaths_total","hospitalized"
2020-07-10,66,64,4,172,2408,1798,172,438
2020-07-11,73,71,5,173,2481,1869,177,435
2020-07-12,73,68,6,174,2554,1937,183,434
2020-07-13,68,40,3,175,2622,1977,186,459
2020-07-14,74,57,7,176,2696,2034,193,469
2020-07-15,78,47,8,177,2774,2081,201,492
2020-07-16,62,60,15,178,2836,2141,216,479
2020-07-17,64,65,9,179,2900,2206,225,469
2020-07-18,77,74,6,180,2977,2280,231,466
2020-07-19,63,42,7,181,3040,2322,238,480
2020-07-20,43,37,6,182,3083,2359,244,480
2020-07-21,57,72,6,183,3140,2431,250,459
2020-07-22,58,54,10,184,3198,2485,260,453
2020-07-23,56,60,11,185,3254,2545,271,438
2020-07-24,47,58,4,186,3301,2603,275,423
2020-07-25,48,54,8,187,3349,2657,283,409
2020-07-26,29,34,8,188,3378,2691,291,396
2020-07-27,34,34,6,189,3412,2725,297,390
2020-07-28,38,51,7,190,3450,2776,304,370
2020-07-29,37,27,9,191,3487,2803,313,371
2020-07-30,46,56,6,192,3533,2859,319,355
2020-07-31,32,41,8,193,3565,2900,327,338
2020-08-01,41,53,5,194,3606,2953,332,321
2020-08-02,26,28,12,195,3632,2981,344,307
2020-08-03,36,29,4,196,3668,3010,348,310
2020-08-04,41,37,5,197,3709,3047,353,309
2020-08-05,44,41,4,198,3753,3088,357,308
2020-08-06,31,39,3,199,3784,3127,360,297
2020-08-07,24,33,9,200,3808,3160,369,279
2020-08-08,43,44,3,201,3851,3204,372,275
2020-08-09,28,22,3,202,3879,3226,375,278
2020-08-10,19,21,5,203,3898,3247,380,271
2020-08-11,46,35,3,204,3944,3282,383,279
2020-08-12,38,38,4,205,3982,3320,387,275
2020-08-13,32,36,8,206,4014,3356,395,263
2020-08-14,22,41,8,207,4036,3397,403,236
2020-08-15,38,44,2,208,4074,3441,405,228
2020-08-16,26,18,2,209,4100,3459,407,234
2020-08-17,27,24,1,210,4127,3483,408,236
2020-08-18,23,26,3,211,4150,3509,411,230
2020-08-19,23,34,4,212,4173,3543,415,215
2020-08-20,30,34,3,213,4203,3577,418,208
2020-08-21,20,35,3,214,4223,3612,421,190
2020-08-22,19,24,1,215,4242,3636,422,184
2020-08-23,18,28,2,216,4260,3664,424,172
2020-08-24,15,13,3,217,4275,3677,427,171
2020-08-25,22,21,1,218,4297,3698,428,171
2020-08-26,13,22,4,219,4310,3720,432,158
2020-08-27,25,22,2,220,4335,3742,434,159
2020-08-28,16,19,1,221,4351,3761,435,155
2020-08-29,24,28,3,222,4375,3789,438,148
2020-08-30,17,23,3,223,4392,3812,441,139
2020-08-31,12,15,0,224,4404,3827,441,136
2020-09-01,18,20,1,225,4422,3847,442,133
2020-09-02,13,20,1,226,4435,3867,443,125
2020-09-03,26,19,3,227,4461,3886,446,129
2020-09-04,21,20,2,228,4482,3906,448,128
2020-09-05,22,17,4,229,4504,3923,452,129
2020-09-06,18,20,3,230,4522,3943,455,124
2020-09-07,15,9,3,231,4537,3952,458,127
2020-09-08,14,17,2,232,4551,3969,460,122
2020-09-09,9,28,4,233,4560,3997,464,99
2020-09-10,21,27,1,234,4581,4024,465,92
2020-09-11,18,12,1,235,4599,4036,466,97
2020-09-12,21,25,2,236,4620,4061,468,91
2020-09-13,10,7,4,237,4630,4068,472,90
2020-09-14,11,8,0,238,4641,4076,472,93
2020-09-15,11,17,1,239,4652,4093,473,86
2020-09-16,5,16,1,240,4657,4109,474,74
2020-09-17,17,9,3,241,4674,4118,477,79
2020-09-18,20,15,2,242,4694,4133,479,82
2020-09-19,9,5,2,243,4703,4138,481,84
2020-09-20,15,20,0,244,4718,4158,481,79
2020-09-21,23,11,0,245,4741,4169,481,91
2020-09-22,17,14,1,246,4758,4183,482,93
2020-09-23,9,15,1,247,4767,4198,483,86
2020-09-24,20,16,1,248,4787,4214,484,89
2020-09-25,13,15,2,249,4800,4229,486,85
2020-09-26,14,19,1,250,4814,4248,487,79
2020-09-27,14,9,0,251,4828,4257,487,84
2020-09-28,4,8,2,252,4832,4265,489,78
2020-09-29,9,13,1,253,4841,4278,490,73
2020-09-30,17,11,0,254,4858,4289,490,79
2020-10-01,15,10,1,255,4873,4299,491,83
2020-10-02,14,17,1,256,4887,4316,492,79
2020-10-03,12,18,1,257,4899,4334,493,72
2020-10-04,13,9,1,258,4912,4343,494,75
2020-10-05,9,5,1,259,4921,4348,495,78
2020-10-06,17,10,0,260,4938,4358,495,85
2020-10-07,12,18,0,261,4950,4376,495,79
2020-10-08,15,12,2,262,4965,4388,497,80
2020-10-09,25,17,0,263,4990,4405,497,88
2020-10-10,10,12,2,264,5000,4417,499,84
2020-10-11,14,11,0,265,5014,4428,499,87
2020-10-12,10,8,0,266,5024,4436,499,89
2020-10-13,17,14,0,267,5041,4450,499,92
2020-10-14,11,11,2,268,5052,4461,501,90
2020-10-15,25,14,3,269,5077,4475,504,98
2020-10-16,26,20,1,270,5103,4495,505,103
2020-10-17,16,21,1,271,5119,4516,506,97
2020-10-18,19,14,2,272,5138,4530,508,100
2020-10-19,20,14,2,273,5158,4544,510,104
2020-10-20,26,12,0,274,5184,4556,510,118
2020-10-21,31,14,2,275,5215,4570,512,133
2020-10-22,20,18,3,276,5235,4588,515,132
2020-10-23,21,36,1,277,5256,4624,516,116
2020-10-24,18,19,0,278,5274,4643,516,115
2020-10-25,20,17,0,279,5294,4660,516,118
2020-10-26,11,14,1,280,5305,4674,517,114
2020-10-27,13,13,2,281,5318,4687,519,112
2020-10-28,28,22,4,282,5346,4709,523,114
2020-10-29,10,11,2,283,5356,4720,525,111
2020-10-30,25,23,1,284,5381,4743,526,112
2020-10-31,10,22,3,285,5391,4765,529,97
2020-11-01,25,16,1,286,5416,4781,530,105
2020-11-02,19,6,1,287,5435,4787,531,117
2020-11-03,24,15,0,288,5459,4802,531,126
2020-11-04,27,17,2,289,5486,4819,533,134
2020-11-05,26,26,2,290,5512,4845,535,132
2020-11-06,24,22,3,291,5536,4867,538,131
2020-11-07,29,31,0,292,5565,4898,538,129
2020-11-08,26,19,1,293,5591,4917,539,135
2020-11-09,24,19,0,294,5615,4936,539,140
2020-11-10,24,17,2,295,5639,4953,541,145
2020-11-11,34,23,0,296,5673,4976,541,156
2020-11-12,33,25,1,297,5706,5001,542,163
2020-11-13,26,23,2,298,5732,5024,544,164
2020-11-14,38,24,1,299,5770,5048,545,177
2020-11-15,32,20,2,300,5802,5068,547,187
2020-11-16,25,26,4,301,5827,5094,551,182
2020-11-17,39,22,3,302,5866,5116,554,196
2020-11-18,32,21,3,303,5898,5137,557,204
2020-11-19,43,31,3,304,5941,5168,560,213
2020-11-20,37,32,6,305,5978,5200,566,212
2020-11-21,25,30,2,306,6003,5230,568,205
2020-11-22,32,24,3,307,6035,5254,571,210
2020-11-23,37,25,3,308,6072,5279,574,219
2020-11-24,57,34,3,309,6129,5313,577,239
2020-11-25,29,40,2,310,6158,5353,579,226
2020-11-26,14,28,3,311,6172,5381,582,209
2020-11-27,37,21,7,312,6209,5402,589,218
2020-11-28,26,25,4,313,6235,5427,593,215
2020-11-29,24,32,2,314,6259,5459,595,205
2020-11-30,35,21,1,315,6294,5480,596,218
2020-12-01,45,26,3,316,6339,5506,599,234
2020-12-02,29,36,5,317,6368,5542,604,222
2020-12-03,34,32,2,318,6402,5574,606,222
2020-12-04,31,37,3,319,6433,5611,609,213
2020-12-05,31,27,1,320,6464,5638,610,216
2020-12-06,32,19,2,321,6496,5657,612,227
2020-12-07,43,22,2,322,6539,5679,614,246
2020-12-08,42,28,3,323,6581,5707,617,257
2020-12-09,47,36,3,324,6628,5743,620,265
2020-12-10,54,36,3,325,6682,5779,623,280
2020-12-11,52,56,4,326,6734,5835,627,272
2020-12-12,58,38,3,327,6792,5873,630,289
2020-12-13,34,24,4,328,6826,5897,634,295
2020-12-14,40,30,4,329,6866,5927,638,301
2020-12-15,40,42,2,330,6906,5969,640,297
2020-12-16,55,35,8,331,6961,6004,648,309
2020-12-17,68,53,4,332,7029,6057,652,320
2020-12-18,53,35,6,333,7082,6092,658,332
2020-12-19,47,49,7,334,7129,6141,665,323
2020-12-20,32,31,8,335,7161,6172,673,316
2020-12-21,56,36,3,336,7217,6208,676,333
2020-12-22,70,50,4,337,7287,6258,680,349
2020-12-23,77,50,3,338,7364,6308,683,373
2020-12-24,50,60,2,339,7414,6368,685,361
2020-12-25,62,56,4,340,7476,6424,689,363
2020-12-26,52,40,3,341,7528,6464,692,372
2020-12-27,67,32,3,342,7595,6496,695,404
2020-12-28,68,43,7,343,7663,6539,702,422
2020-12-29,68,51,5,344,7731,6590,707,434
2020-12-30,79,71,8,345,7810,6661,715,434
2020-12-31,81,61,6,346,7891,6722,721,448
2021-01-01,70,66,11,347,7961,6788,732,441
2021-01-02,71,51,8,348,8032,6839,740,453
2021-01-03,83,48,4,349,8115,6887,744,484
2021-01-04,84,44,2,350,8199,6931,746,522
2021-01-05,115,57,6,351,8314,6988,752,574
2021-01-06,89,86,8,352,8403,7074,760,569
2021-01-07,89,79,6,353,8492,7153,766,573
2021-01-08,89,73,14,354,8581,7226,780,575
2021-01-09,107,86,10,355,8688,7312,790,586
2021-01-10,66,70,10,356,8754,7382,800,572
2021-01-11,54,54,8,357,8808,7436,808,564
2021-01-12,117,70,10,358,8925,7506,818,601
2021-01-13,77,63,8,359,9002,7569,826,607
2021-01-14,103,96,13,360,9105,7665,839,601
2021-01-15,91,72,12,361,9196,7737,851,608
2021-01-16,89,75,15,362,9285,7812,866,607
2021-01-17,63,73,6,363,9348,7885,872,591
2021-01-18,78,58,9,364,9426,7943,881,602
2021-01-19,114,90,7,365,9540,8033,888,619
2021-01-20,67,73,9,366,9607,8106,897,604
2021-01-21,85,90,10,367,9692,8196,907,589
2021-01-22,82,75,9,368,9774,8271,916,587
2021-01-23,74,98,10,369,9848,8369,926,553
2021-01-24,80,43,16,370,9928,8412,942,574
2021-01-25,68,56,9,371,9996,8468,951,577
2021-01-26,84,81,8,372,10080,8549,959,572
2021-01-27,87,97,11,373,10167,8646,970,551
2021-01-28,88,74,9,374,10255,8720,979,556
2021-01-29,54,61,10,375,10309,8781,989,539
2021-01-30,65,85,7,376,10374,8866,996,512
2021-01-31,60,61,5,377,10434,8927,1001,506
2021-02-01,41,36,9,378,10475,8963,1010,502
2021-02-02,66,67,5,379,10541,9030,1015,496
2021-02-03,64,59,10,380,10605,9089,1025,491
