ObjectID,Date_Updated,F7_Day_MA_NA,New_Cases_NC,F7_Day_MA_NC,Doubling_Time,Curr_Hosp_Inpatients,F7_Day_MA_Hosp,Curr_ICU,F7_Day_MA_ICU,Curr_Ventilator,F7_Day_MA_Vent,Record_Status,New_Admissions,ACS_Admiss,DisplayDate,No_Data,NC_L7day
26,2020/04/06 05:00:00+00,9.71428571428571,18,42.2857142857143,8.08834142777601,64,59.4285714285714,43,27.4285714285714,28,22.7142857142857,Past,7,,,,296
27,2020/04/07 05:00:00+00,9.14285714285714,52,44.2857142857143,8.51162078000273,66,62.1428571428571,41,31.8571428571429,24,24.2857142857143,Past,6,,,,310
28,2020/04/08 05:00:00+00,7.85714285714286,43,41.7142857142857,9.39999287302598,66,63.5714285714286,40,35.2857142857143,25,25.1428571428571,Past,5,,,,292
29,2020/04/09 05:00:00+00,8.57142857142857,45,41.5714285714286,10.0636160614318,71,65,41,37.7142857142857,27,25.7142857142857,Past,14,,,,291
30,2020/04/10 05:00:00+00,8.85714285714286,48,37.1428571428571,10.9568122639634,72,66.1428571428571,42,39.4285714285714,29,26.5714285714286,Past,12,,,,260
31,2020/04/11 05:00:00+00,8.28571428571429,54,40.5714285714286,10.8012567084079,69,67.5714285714286,48,41,32,27.7142857142857,Past,4,,,,284
32,2020/04/12 05:00:00+00,7.42857142857143,30,41.4285714285714,11.3645900417412,67,67.8571428571429,44,42.5714285714286,31,28,Past,4,,,,290
33,2020/04/13 05:00:00+00,8.42857142857143,82,50.5714285714286,9.61960359187671,74,69.2857142857143,50,42.7142857142857,28,28,Past,14,,,,354
34,2020/04/14 05:00:00+00,9,44,49.4285714285714,10.5996735219466,75,70.5714285714286,48,43.7142857142857,31,29,Past,10,,,,346
35,2020/04/15 05:00:00+00,9.71428571428571,77,54.2857142857143,10.4801325977545,76,72,41,44.7142857142857,29,29.5714285714286,Past,10,,,,380
36,2020/04/16 05:00:00+00,8.71428571428571,52,55.2857142857143,11.032312084934,76,72.7142857142857,41,44.8571428571429,28,29.7142857142857,Past,7,,,,387
37,2020/04/17 05:00:00+00,8.14285714285714,45,54.8571428571429,11.9814787516007,78,73.5714285714286,39,44.8571428571429,25,29.1428571428571,Past,8,,,,384
38,2020/04/18 05:00:00+00,9.14285714285714,18,49.7142857142857,16.6703676404896,76,74.5714285714286,35,44.4285714285714,19,27.2857142857143,Past,11,,,,348
39,2020/04/19 05:00:00+00,9.71428571428571,16,47.7142857142857,21.0153676404896,79,76.2857142857143,36,42.5714285714286,18,25.4285714285714,Past,8,,,,334
40,2020/04/20 05:00:00+00,8.42857142857143,66,45.4285714285714,21.7502530802531,80,77.1428571428571,37,41.4285714285714,17,23.8571428571429,Past,5,,,,318
41,2020/04/21 05:00:00+00,8.85714285714286,59,47.5714285714286,21.7946290432731,81,78,35,39.5714285714286,17,21.8571428571429,Past,13,,,,333
42,2020/04/22 05:00:00+00,8.71428571428571,30,40.8571428571429,24.7357978744419,85,79.2857142857143,31,37.7142857142857,16,20,Past,9,,,,286
