,date,0-4-high,5-18-high,19-49-high,50-64-high,65-high,0-4-low,5-18-low,19-49-low,50-64-low,65-low
44,2021-04-15,0,19.040917362234485,156209.0,108196.0,103763.0,0,0,66403.02793750478,15531.360049383205,56043.96244613174
45,2021-04-16,0,19.473665484103453,156209.0,108196.0,103763.0,0,0,85137.36890392163,27482.702675255627,58470.77039973214
46,2021-04-17,0,19.90641360597242,156209.0,108196.0,103763.0,0,0,85137.36890392163,27482.702675255627,58470.77039973214
47,2021-04-18,0,20.339161727841383,156209.0,108196.0,103763.0,0,0,100276.63377870197,35552.88415356583,62038.25464698067
48,2021-04-19,0,20.77190984971035,156209.0,108196.0,103763.0,0,0,104993.2507023447,38599.44439410986,62711.94265933661
49,2021-04-20,0,21.204657971579316,156209.0,108196.0,103763.0,0,0,110132.36588462,40727.76568364876,63742.88946612377
50,2021-04-21,0,21.63740609344828,156209.0,108196.0,103763.0,0,0,119740.74446457496,46046.789374645305,65521.52789268474
51,2021-04-22,0,22.070154215317245,156209.0,108196.0,103763.0,0,0,128660.83497228497,50427.99925327813,67371.61807813193
52,2021-04-23,0,22.502902337186214,156209.0,108196.0,103763.0,0,0,132945.73549347057,54171.54319371295,68761.52491170468
53,2021-04-24,0,22.93565045905518,156209.0,108196.0,103763.0,0,0,132945.73549347057,57915.08713414779,70151.43174527743
54,2021-04-25,0,23.368398580924143,156209.0,108196.0,103763.0,0,0,157037.35437934723,61658.631074582605,71541.33857885018
55,2021-04-26,0,23.801146702793112,156209.0,108196.0,103763.0,0,0,161340.69118818222,63206.82465476557,71977.70467776252
56,2021-04-27,0,24.233894824662073,156209.0,108196.0,103763.0,0,0,167254.13045173307,64489.8678401816,72526.35211206757
57,2021-04-28,0,24.66664294653104,156209.0,108196.0,103763.0,0,0,176232.60253699956,67612.94799330935,73678.51172410813
58,2021-04-29,0,25.09939106840001,156209.0,108196.0,103763.0,0,0,185211.0746222661,70736.02814643714,74830.67133614869
59,2021-04-30,0,25.53213919026897,156209.0,108196.0,103763.0,0,0,185211.0746222661,70736.02814643714,74830.67133614869
60,2021-05-01,0,25.96488731213794,156209.0,108196.0,103763.0,0,0,208491.49685156863,78169.1368641663,77305.96441185047
61,2021-05-02,0,26.3976354340069,156209.0,108196.0,103763.0,0,0,215157.75119413732,80715.6483736397,78347.1186127642
62,2021-05-03,0,26.83038355587587,156209.0,108196.0,103763.0,0,0,218251.97480463126,81324.2486086082,78592.09607180275
63,2021-05-04,0,27.263131677744834,156209.0,108196.0,103763.0,0,0,222888.70114845992,82226.47176395624,78911.07713825913
64,2021-05-05,0,27.6958797996138,156209.0,108196.0,103763.0,0,0,231546.07455716567,84872.63711307361,79814.43151846371
65,2021-05-06,0,28.128627921482767,156209.0,108196.0,103763.0,0,0,242426.55698493053,87027.6513953743,80850.48202231416
66,2021-05-07,0,28.561376043351732,156209.0,108196.0,103763.0,0,0,253972.2821253785,89282.31951731897,82093.23225722834
67,2021-05-08,0,28.994124165220697,156209.0,108196.0,103763.0,0,0,253972.2821253785,89282.31951731897,82093.23225722834
68,2021-05-09,0,29.42687228708966,156209.0,108196.0,103763.0,0,0,253972.2821253785,89282.31951731897,82093.23225722834
69,2021-05-10,0,29.85962040895863,156209.0,108196.0,103763.0,0,0,277255.7770692892,94521.26423003018,84264.85535766359
70,2021-05-11,0,30.29236853082759,156209.0,108196.0,103763.0,0,0,283694.6505308484,95612.1178675614,84693.56591098104
71,2021-05-12,0,30.72511665269656,156209.0,108196.0,103763.0,0,0,292083.16141133354,97742.21868995114,86298.6786373897
72,2021-05-13,0,31.157864774565525,156209.0,108196.0,103763.0,0,0,301407.31389002665,99480.8222851681,87107.61462192316
73,2021-05-14,0,31.157864774565525,156209.0,108196.0,103763.0,0,0,309443.99894786876,101174.9375591155,87916.55060645667
74,2021-05-15,0,35.31224674450758,156209.0,108196.0,103763.0,0,0,315775.32739813963,102660.847489521,88508.57946579973
75,2021-05-16,0,35.31224674450758,156209.0,108196.0,103763.0,0,0,315775.32739813963,102660.847489521,88508.57946579973
76,2021-05-17,0,35.31224674450758,156209.0,108196.0,103763.0,0,0,326459.15609097737,105148.63441491852,89284.34141942172
77,2021-05-18,0,45.69820166936275,156209.0,108196.0,103763.0,0,0,330121.83190399496,105860.44755523253,89728.36306392908
78,2021-05-19,0,45.69820166936275,156209.0,108196.0,103763.0,0,0,335214.8563671468,107241.36504744174,90435.22510719649
79,2021-05-20,0,56.08415659421793,156209.0,108196.0,103763.0,0,0,342062.4008716014,109035.13416103309,91420.23864041388
80,2021-05-21,0,56.08415659421793,156209.0,108196.0,103763.0,0,0,342062.4008716014,109035.13416103309,91420.23864041388
81,2021-05-22,0,64.39292053410207,156209.0,108196.0,103763.0,0,0,350518.5114734678,111542.49594778923,92400.14847656799
82,2021-05-23,0,72.70168447398622,156209.0,108196.0,103763.0,0,0,358974.62207533413,114049.85773454534,93380.05831272207
83,2021-05-24,0,72.70168447398622,156209.0,108196.0,103763.0,0,0,358974.62207533413,114049.85773454534,93380.05831272207
84,2021-05-25,0,78.93325742889934,156209.0,108196.0,103763.0,0,0,364293.4910621912,115489.49981083049,93966.9834750019
85,2021-05-26,0,78.93325742889934,156209.0,108196.0,103763.0,0,0,367822.50378975057,116550.10138989834,94462.04209014223
86,2021-05-27,0,1166.0694234579503,156209.0,108196.0,103763.0,0,0,370388.78651400306,117230.5385562643,94789.08162564595
87,2021-05-28,0,2253.2055894870014,156209.0,108196.0,103763.0,0,0,372955.0692382556,117910.97572263028,95116.1211611497
88,2021-05-29,0,3340.341755516052,156209.0,108196.0,103763.0,0,0,375521.35196250805,118591.41288899624,95443.16069665342
89,2021-05-30,0,4427.4779215451035,156209.0,108196.0,103763.0,0,0,378087.6346867607,119271.85005536221,95770.20023215719
90,2021-05-31,0,5514.614087574154,156209.0,108196.0,103763.0,0,0,380653.9174110133,119952.28722172818,96097.23976766091
91,2021-06-01,0,6601.750253603204,156209.0,108196.0,103763.0,0,0,383220.2001352657,120632.72438809415,96424.27930316466
92,2021-06-02,0,7688.886419632256,156209.0,108196.0,103763.0,0,0,385786.48285951826,121313.16155446012,96751.31883866838
93,2021-06-03,0,8776.022585661307,156209.0,108196.0,103763.0,0,0,388352.7655837707,121993.59872082609,97078.35837417212
94,2021-06-04,0,9863.158751690358,156209.0,108196.0,103763.0,0,0,390919.04830802325,122674.03588719206,97405.39790967584
95,2021-06-05,0,10950.29491771941,156209.0,108196.0,103763.0,0,0,393485.3310322759,123354.47305355803,97732.43744517959
96,2021-06-06,0,12037.43108374846,156209.0,108196.0,103763.0,0,0,396051.61375652836,124034.910219924,98059.4769806833
97,2021-06-07,0,13124.567249777512,156209.0,108196.0,103763.0,0,0,398617.8964807809,124715.34738628997,98386.51651618705
98,2021-06-08,0,14211.703415806562,156209.0,108196.0,103763.0,0,0,401184.17920503335,125395.78455265594,98713.55605169077
99,2021-06-09,0,15298.839581835613,156209.0,108196.0,103763.0,0,0,403750.4619292859,126076.22171902191,99040.59558719452
100,2021-06-10,0,16385.975747864664,156209.0,108196.0,103763.0,0,0,406316.74465353845,126756.65888538788,99367.63512269827
101,2021-06-11,0,17473.111913893717,156209.0,108196.0,103763.0,0,0,408883.0273777909,127437.09605175385,99694.67465820198
102,2021-06-12,0,18560.248079922767,156209.0,108196.0,103763.0,0,0,411449.31010204356,128117.53321811982,100021.7141937057
103,2021-06-13,0,19647.384245951816,156209.0,108196.0,103763.0,0,0,414015.5928262961,128797.97038448579,100348.75372920948
104,2021-06-14,0,20734.52041198087,156209.0,108196.0,103763.0,0,0,416581.87555054855,129478.40755085176,100675.7932647132
105,2021-06-15,0,23952.089247701006,156209.0,108196.0,103763.0,0,0,420582.5499704721,130268.52013660033,101035.60390767604
106,2021-06-16,0,26540.26921497492,156209.0,108196.0,103763.0,0,0,424511.01559710223,131375.38956978862,101719.49931415857
107,2021-06-17,0,27961.067848695104,156209.0,108196.0,103763.0,0,0,428053.85554039886,132403.95955754237,102326.83926469157
108,2021-06-18,0,29481.571649693902,156209.0,108196.0,103763.0,0,0,430886.8984091928,133069.50484373598,102678.99436205946
109,2021-06-19,0,30457.851412630287,156209.0,108196.0,103763.0,0,0,432885.69926185056,133542.8605820448,102954.59400347783
110,2021-06-20,0,31585.76611746956,156209.0,108196.0,103763.0,0,0,435442.1978159031,134215.52399964162,103143.43079482001
111,2021-06-21,0,32616.052846015187,156209.0,108196.0,103763.0,0,0,436646.70194233186,134509.1469200211,103242.95288755442
112,2021-06-22,0,33577.79227205678,156209.0,108196.0,103763.0,0,0,438196.8864621868,134857.93535877496,103369.26938987113
113,2021-06-23,0,34022.31114284058,156209.0,108196.0,103763.0,0,0,439126.3826311785,135128.4243520943,103495.5858921879
114,2021-06-24,0,35013.13124267176,156209.0,108196.0,103763.0,0,0,440770.28494658496,135507.46484931148,103707.38932031492
115,2021-06-25,0,36057.958308112204,156209.0,108196.0,103763.0,0,0,442895.0670981803,136009.29311323288,103980.43711320162
116,2021-06-26,0,36834.82773649136,156209.0,108196.0,103763.0,0,0,446772.83293377445,136986.2566483139,104365.766241481
117,2021-06-27,0,37904.58109375143,156209.0,108196.0,103763.0,0,453.5810937514325,452076.3383475904,138203.4571182509,104825.09897717819
118,2021-06-28,0,38357.40872847513,156209.0,108196.0,103763.0,0,906.4087284751295,453144.1066739524,138497.08003863043,104962.8987978874
119,2021-06-29,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
120,2021-06-30,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
121,2021-07-01,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
122,2021-07-02,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
123,2021-07-03,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
124,2021-07-04,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
125,2021-07-05,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
126,2021-07-06,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
127,2021-07-07,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
128,2021-07-08,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
129,2021-07-09,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
130,2021-07-10,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
131,2021-07-11,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
132,2021-07-12,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
133,2021-07-13,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
134,2021-07-14,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
135,2021-07-15,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
136,2021-07-16,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
137,2021-07-17,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
138,2021-07-18,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
139,2021-07-19,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
140,2021-07-20,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
141,2021-07-21,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
142,2021-07-22,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
143,2021-07-23,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
144,2021-07-24,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
145,2021-07-25,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
146,2021-07-26,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
147,2021-07-27,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
148,2021-07-28,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
149,2021-07-29,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
150,2021-07-30,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
151,2021-07-31,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
152,2021-08-01,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
153,2021-08-02,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
154,2021-08-03,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
155,2021-08-04,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
156,2021-08-05,0,39051.190517455456,156209.0,108196.0,103763.0,0,1600.1905174554558,454423.8923082829,138812.05735321937,105149.18374069795
