,date,0-4-high,5-18-high,19-49-high,50-64-high,65-high,0-4-low,5-18-low,19-49-low,50-64-low,65-low
62,2021-05-03,0,74921.69220367871,312418.0,216392.0,207526.0,0,16972.779605408592,605083.8276620642,167880.71890123293,145891.27281058906
63,2021-05-04,0,75385.76152714569,312418.0,216392.0,207526.0,0,17163.528471729995,611608.7371336769,169233.02862349624,146467.93738928
64,2021-05-05,0,76251.89555710039,312418.0,216392.0,207526.0,0,17440.159711428103,623013.1174039339,172338.8117176895,147331.78552309598
65,2021-05-06,0,77340.340488961,312418.0,216392.0,207526.0,0,17808.51148223126,637557.8120043004,175265.04172674974,148944.60836867802
66,2021-05-07,0,78495.30969208991,312418.0,216392.0,207526.0,0,18174.712352818766,652746.2403151935,178251.1227641877,150511.48184544
67,2021-05-08,0,78495.70638117404,312418.0,216392.0,207526.0,0,18176.642906361754,652746.2403151935,178251.1227641877,150511.48184544
68,2021-05-09,0,78496.10307025816,312418.0,216392.0,207526.0,0,18178.573459904743,652746.2403151935,178251.1227641877,150511.48184544
69,2021-05-10,0,80824.84925373335,312418.0,216392.0,207526.0,0,18923.64004193117,683461.0955439387,185012.6713755043,153403.99461265898
70,2021-05-11,0,81469.13328897339,312418.0,216392.0,207526.0,0,19096.874435011137,691613.0074008675,186347.18754879048,153964.57691226306
71,2021-05-12,0,82308.38106610603,312418.0,216392.0,207526.0,0,19306.059589043653,702074.0642862481,188704.02399058192,155818.63394415006
72,2021-05-13,0,83241.19300305945,312418.0,216392.0,207526.0,0,19541.823724456262,713736.5525836372,190692.04868993792,156556.12131371105
73,2021-05-14,0,84044.86150884366,312418.0,216392.0,207526.0,0,19926.36761777998,724895.1156851966,193058.59070389875,157801.34920873307
74,2021-05-15,0,84681.80256907834,312418.0,216392.0,207526.0,0,22006.961706379836,733391.1715783019,195017.49868674675,158504.374551679
75,2021-05-16,0,84681.80256907834,312418.0,216392.0,207526.0,0,22006.961706379836,733391.1715783019,195017.49868674675,158504.374551679
76,2021-05-17,0,85750.18543836211,312418.0,216392.0,207526.0,0,28894.34716412917,752131.657976873,198852.81728900305,159717.43788852706
77,2021-05-18,0,86125.9735576828,312418.0,216392.0,207526.0,0,31402.21002556794,757585.7264073475,199954.39973022474,160392.89361018105
78,2021-05-19,0,86635.27600399798,312418.0,216392.0,207526.0,0,34850.922498056534,765176.8678481851,201614.0525711843,161160.24806947506
79,2021-05-20,0,87329.55099246238,312418.0,216392.0,207526.0,0,38144.00148682395,774756.0556408635,203758.98402061156,162338.849379708
80,2021-05-21,0,87329.55099246238,312418.0,216392.0,207526.0,0,38144.00148682395,774756.0556408635,203758.98402061156,162338.849379708
81,2021-05-22,0,88182.77848306418,312418.0,216392.0,207526.0,0,42010.70654639568,788309.7997799187,207182.6246033511,163694.35575989797
82,2021-05-23,0,89036.00597366595,312418.0,216392.0,207526.0,0,45877.41160596741,801863.5439189738,210606.26518609078,165049.862140088
